sample,condition
Intensity.1,con
Intensity.10,7d
Intensity.11,21d
Intensity.2,con
Intensity.3,con
Intensity.4,21d
Intensity.5,21d
Intensity.6,con
Intensity.7,21d
Intensity.8,7d
Intensity.9,7d
